listing_id,product_index,seller_id,price,shipping_cost,discount,visits
L000350,111,S011,5823,194,5,135
L000351,111,S013,6286,164,0,832
L000352,111,S003,5941,0,10,231
L000353,112,S001,1299,98,20,462
L000354,112,S005,1148,0,25,129
L000355,112,S004,1260,0,30,30
L000356,112,S014,1264,220,40,325
L000357,113,S002,723,89,50,1006
L000358,113,S005,799,70,20,108
L000359,113,S012,696,129,20,286
L000360,113,S008,713,103,20,133
L000361,113,S003,810,159,15,119
L000362,114,S005,6101,173,10,634
L000363,114,S002,5315,226,20,208
L000364,114,S008,5986,134,30,92
L000365,115,S009,3891,142,5,397
L000366,115,S001,4423,82,0,151
L000367,115,S014,3904,221,10,189
L000368,115,S002,4174,94,20,203
L000369,115,S005,4543,130,25,162
L000370,116,S008,3271,0,25,254
L000371,116,S005,3381,128,10,549
L000372,117,S005,3380,225,50,157
L000373,117,S008,3242,0,5,53
L000374,117,S003,3342,192,0,64
L000375,117,S011,3072,113,10,347
L000376,118,S003,4410,199,15,125
L000377,118,S014,4625,99,5,22
L000378,118,S008,4998,110,5,189
L000379,118,S004,4904,241,5,224
L000380,119,S008,1371,228,5,356
L000381,119,S006,1304,0,5,47
L000382,119,S010,1317,204,30,272
L000383,119,S005,1366,166,0,766
L000384,119,S007,1248,190,25,154
L000385,120,S006,731,100,0,89
L000386,120,S003,745,0,25,111
L000387,120,S011,717,90,15,99
L000388,121,S010,4173,78,15,52
L000389,122,S008,4271,230,5,20
L000390,123,S006,6083,246,10,225
L000391,123,S003,6104,204,15,779
L000392,123,S012,5216,56,15,504
L000393,123,S010,5171,77,20,1358
L000394,124,S012,4123,55,15,120
L000395,124,S014,4292,125,20,47
L000396,124,S007,4556,242,15,103
L000397,124,S013,4349,248,20,45
L000398,124,S004,4530,0,5,683
L000399,125,S012,3023,154,25,74
L000400,126,S004,6151,0,15,181
L000401,126,S010,6090,235,20,79
L000402,126,S008,5309,163,5,93
L000403,126,S012,5663,151,50,134
L000404,126,S011,5577,92,10,571
L000405,127,S007,3292,0,50,403
L000406,127,S010,3174,98,10,158
L000407,127,S009,3061,100,10,102
L000408,127,S011,3146,86,30,468
L000409,128,S010,4561,149,5,88
L000410,128,S014,4850,103,5,246
L000411,129,S008,5089,181,15,323
L000412,129,S014,4923,59,20,66
L000413,129,S007,4724,75,10,31
L000414,129,S002,5404,0,15,194
L000415,129,S010,4958,100,25,118
L000416,130,S007,5313,206,20,235
L000417,130,S003,5186,0,30,69
L000418,131,S010,3627,228,15,123
L000419,131,S004,4140,205,0,275
L000420,131,S003,3934,0,15,59
L000421,131,S013,3553,93,10,255
L000422,132,S013,4779,192,0,1084
L000423,132,S004,5090,141,5,221
L000424,133,S005,5004,243,50,59
L000425,134,S002,2153,149,5,51
L000426,134,S005,1917,0,40,62
L000427,134,S008,2220,192,15,51
L000428,134,S006,2118,213,5,44
L000429,134,S012,2249,0,25,253
L000430,135,S014,1340,0,25,55
L000431,136,S011,5289,139,25,38
L000432,136,S002,5187,106,15,54
L000433,136,S006,5419,95,10,110
L000434,136,S004,5059,145,10,299
L000435,136,S003,4520,0,15,58
L000436,137,S013,1076,130,30,49
L000437,137,S001,1027,193,10,143
L000438,137,S012,1107,193,15,107
L000439,137,S007,1095,143,15,204
L000440,138,S005,4257,0,10,39
L000441,138,S007,4324,205,30,140
L000442,139,S006,593,100,15,207
L000443,139,S003,612,0,0,528
L000444,139,S004,654,149,15,282
L000445,139,S005,555,199,15,31
L000446,140,S013,5328,0,0,196
L000447,140,S008,4940,118,10,35
L000448,140,S006,5899,234,5,156
L000449,140,S010,5143,172,15,122
L000450,140,S012,5448,56,10,286
L000451,141,S014,6314,135,0,356
L000452,142,S012,1237,0,5,150
L000453,142,S002,1286,0,40,148
L000454,143,S006,2239,0,20,202
L000455,143,S012,1965,206,10,132
L000456,143,S001,2197,0,15,125
L000457,143,S011,1963,145,20,216
L000458,143,S005,2257,134,10,598
L000459,144,S011,1607,78,25,215
L000460,145,S008,3862,92,15,884
L000461,145,S009,3323,147,0,511
L000462,146,S007,1910,0,50,28
L000463,146,S002,1989,191,5,422
L000464,146,S006,2011,228,20,237
L000465,146,S004,2065,83,20,64
L000466,147,S001,3307,242,5,3511
L000467,147,S013,2902,212,30,294
L000468,147,S014,3245,0,15,200
L000469,148,S003,941,152,10,25
L000470,148,S008,976,218,20,721
L000471,148,S009,966,125,5,74
L000472,148,S005,840,219,40,243
L000473,148,S013,1008,211,20,249
L000474,149,S004,3712,150,30,158
L000475,149,S011,3938,197,5,391
L000476,150,S005,4370,0,0,81
L000477,150,S010,4195,154,10,313
L000478,150,S007,4368,69,10,528
L000479,150,S012,4631,221,20,114
L000480,151,S012,3256,103,10,334
L000481,151,S007,3852,81,25,295
L000482,151,S008,3615,68,10,75
L000483,152,S010,1034,90,15,182
L000484,152,S003,1035,218,25,145
L000485,152,S002,884,54,20,80
L000486,152,S009,926,241,10,209
L000487,153,S006,3186,236,40,191
L000488,153,S008,2984,58,10,353
L000489,154,S013,4649,72,20,7
L000490,154,S005,4278,96,40,8
L000491,154,S009,4095,152,30,147
L000492,155,S005,5706,119,0,131
L000493,156,S006,5080,152,10,3275
L000494,156,S002,5559,196,10,50
L000495,157,S001,5154,157,20,74
L000496,157,S003,5317,0,5,721
L000497,157,S012,5198,243,20,28
L000498,157,S006,5554,71,10,36
L000499,157,S013,5431,0,20,146
L000500,158,S010,1064,0,5,554
L000501,159,S013,5685,154,40,271
L000502,159,S004,5417,231,25,211
L000503,160,S004,3751,0,25,111
L000504,161,S005,4319,155,20,148
L000505,161,S006,4203,193,5,96
L000506,161,S008,4248,108,5,281
L000507,162,S004,4634,0,30,266
L000508,162,S006,4413,0,25,22
L000509,162,S003,4181,0,5,340
L000510,162,S001,4617,223,30,77
L000511,163,S001,4136,222,20,100
L000512,163,S008,4066,54,15,397
L000513,163,S005,4289,250,20,451
L000514,163,S009,4232,166,40,268
L000515,164,S013,5787,205,50,171
L000516,164,S008,5747,222,5,707
L000517,165,S002,3429,124,40,109
L000518,166,S002,2145,176,25,397
L000519,166,S001,2130,0,0,202
L000520,166,S014,2254,0,10,75
L000521,167,S012,4279,158,10,283
L000522,167,S011,3932,0,10,171
L000523,167,S008,4517,88,0,268
L000524,168,S009,1294,130,25,191
L000525,168,S006,1520,114,20,208
L000526,168,S003,1440,237,30,329
L000527,168,S002,1484,55,10,223
L000528,169,S005,5253,53,10,66
L000529,170,S002,4372,92,15,178
L000530,170,S006,4644,135,10,97
L000531,170,S011,3971,212,10,258
L000532,170,S007,3977,126,10,106
L000533,171,S013,3461,52,25,370
L000534,171,S010,3875,149,0,83
L000535,172,S012,5780,145,5,108
L000536,172,S010,5803,148,30,412
L000537,172,S003,6018,241,10,59
L000538,172,S013,5667,167,20,186
L000539,172,S007,5383,59,10,40
L000540,173,S009,934,84,0,164
L000541,173,S004,880,169,15,120
L000542,173,S006,1027,85,5,781
L000543,173,S008,913,87,20,1560
L000544,174,S014,4327,181,0,241
L000545,174,S007,4350,109,10,148
L000546,174,S013,4048,100,30,135
L000547,175,S012,4886,101,15,112
L000548,175,S011,4127,227,5,382
L000549,175,S009,4871,0,5,1208
L000550,175,S007,4921,0,20,115
L000551,176,S001,948,199,25,888
L000552,176,S006,1071,150,15,148
L000553,176,S012,1022,243,10,195
L000554,177,S009,3792,58,30,68
L000555,178,S002,919,55,15,81
L000556,178,S013,865,0,5,765
L000557,178,S001,844,77,20,69
L000558,179,S010,666,86,10,672
L000559,179,S001,775,0,10,94
L000560,179,S002,760,84,40,125
L000561,180,S014,2565,76,0,129
L000562,180,S006,2604,0,5,229
L000563,181,S011,2144,175,50,50
L000564,181,S006,2118,236,10,260
L000565,181,S002,2322,248,20,30
L000566,181,S012,2414,167,25,25
L000567,181,S001,2196,107,5,35
L000568,182,S010,1920,174,30,560
L000569,182,S006,1768,179,10,268
L000570,182,S001,2070,143,20,185
L000571,183,S007,4573,246,5,743
L000572,183,S006,4201,119,5,198
L000573,184,S012,4170,133,10,141
L000574,184,S006,4399,128,5,89
L000575,184,S007,4333,51,15,544
L000576,185,S013,2317,133,15,72
L000577,186,S003,2106,177,20,64
L000578,186,S004,2335,79,20,54
L000579,186,S002,2307,0,20,185
L000580,186,S008,2009,0,0,17
L000581,186,S013,2214,179,20,222
L000582,187,S011,4894,93,10,401
L000583,188,S013,2826,127,5,350
L000584,189,S005,2882,247,25,180
L000585,189,S014,2515,141,5,88
L000586,189,S010,2970,82,30,195
L000587,189,S009,2490,0,50,57
L000588,190,S010,4623,0,30,113
L000589,190,S005,5293,231,5,257
L000590,190,S004,4442,240,20,9
L000591,190,S006,4489,224,0,169
L000592,190,S012,5094,78,25,278
L000593,191,S013,2474,171,50,135
L000594,191,S009,2626,0,15,51
L000595,191,S012,2790,120,5,1243
L000596,191,S006,2404,229,15,540
L000597,191,S010,2487,173,5,24
L000598,192,S013,2905,196,15,185
L000599,193,S005,4798,216,0,194
L000600,193,S008,4717,166,10,208
L000601,193,S002,4684,0,0,100
L000602,193,S003,5064,56,5,255
L000603,193,S011,4914,71,15,973
L000604,194,S007,5808,244,5,62
L000605,194,S002,6183,0,25,93
L000606,194,S013,5770,147,0,94
L000607,195,S013,4754,178,5,334
L000608,196,S006,2553,193,20,288
L000609,196,S014,2567,76,15,147
L000610,196,S005,2540,56,10,126
L000611,196,S002,2677,118,20,99
L000612,197,S014,799,94,60,83
L000613,197,S007,872,56,10,108
L000614,198,S003,1643,142,30,119
L000615,198,S011,1647,134,5,131
L000616,198,S010,1571,0,40,246
L000617,198,S008,1463,144,15,48
L000618,199,S004,6235,194,5,151
L000619,199,S005,5840,160,10,140
L000620,200,S013,5719,237,15,60
L000621,200,S006,5784,52,50,70
L000622,201,S004,4561,50,0,106
L000623,202,S010,2267,0,15,113
L000624,203,S012,2638,114,25,149
L000625,203,S007,2895,153,5,491
L000626,203,S004,2566,213,15,44
L000627,203,S006,2811,245,20,138
L000628,204,S002,715,76,30,34
L000629,204,S014,652,113,10,76
L000630,204,S007,772,144,15,231
L000631,205,S007,5833,203,15,105
L000632,205,S014,5716,87,15,529
L000633,205,S010,6038,248,15,29
L000634,205,S002,5383,218,10,295
L000635,206,S011,2790,228,15,109
L000636,207,S007,589,179,20,188
L000637,207,S014,561,97,30,216
L000638,208,S014,651,212,25,111
L000639,208,S012,645,170,15,1087
L000640,208,S010,625,58,15,379
L000641,209,S003,1672,186,15,60
L000642,209,S006,1495,77,10,111
L000643,210,S004,591,215,30,186
L000644,210,S009,574,109,20,68
L000645,210,S007,564,241,5,146
L000646,210,S006,638,243,15,48
L000647,211,S012,4088,171,20,105
L000648,211,S009,3482,82,0,574
L000649,211,S001,4118,68,10,79
L000650,211,S011,3946,193,20,284
L000651,211,S004,4093,158,15,91
L000652,212,S010,672,0,15,221
L000653,212,S014,682,54,50,137
L000654,212,S005,759,161,15,100
L000655,212,S001,702,160,15,185
L000656,213,S002,5426,241,15,351
L000657,214,S004,4785,155,10,91
L000658,214,S002,4806,131,0,297
L000659,214,S003,5093,0,25,138
L000660,214,S006,4953,62,5,467
L000661,215,S007,2281,193,15,106
L000662,215,S005,2239,182,40,339
L000663,215,S003,2222,246,15,22
L000664,216,S010,2987,96,0,70
L000665,216,S011,2875,133,20,200
L000666,216,S004,2790,176,20,1462
L000667,216,S003,3356,205,30,276
L000668,216,S009,2962,0,20,149
L000669,217,S011,2409,0,5,102
L000670,217,S007,2478,0,20,56
L000671,218,S011,5323,143,25,862
L000672,218,S006,5300,0,15,170
L000673,219,S013,4852,0,15,27
L000674,219,S006,5449,144,10,63
L000675,219,S008,5543,140,0,294
L000676,219,S003,5455,79,10,80
L000677,220,S005,2744,88,25,98
L000678,221,S012,2559,62,20,338
L000679,221,S001,2581,208,5,54
L000680,221,S014,2429,247,15,278
L000681,221,S005,2616,113,15,567
L000682,221,S010,2569,67,5,78
L000683,222,S011,5786,155,10,241
L000684,222,S004,5453,93,30,263
L000685,222,S009,5488,167,15,129
L000686,222,S007,5990,148,10,158
L000687,222,S014,5519,161,20,62
L000688,223,S011,800,108,5,67
L000689,223,S005,813,143,10,36
L000690,223,S013,741,56,25,36
L000691,224,S003,2449,0,15,439
L000692,224,S009,2176,231,0,196
L000693,225,S006,1472,204,5,68
L000694,226,S006,3218,0,30,210
L000695,226,S011,3481,52,15,32
L000696,226,S012,3423,173,20,122
L000697,226,S010,2982,175,5,150
L000698,226,S013,3062,171,25,343
L000699,227,S013,4640,59,15,503
L000700,228,S011,1485,87,25,105
L000701,228,S004,1397,177,0,62
L000702,228,S002,1486,233,15,75
L000703,228,S014,1279,59,15,73
L000704,229,S008,4610,202,5,359
L000705,229,S012,4034,213,25,56
L000706,229,S014,4163,89,20,150
L000707,230,S013,2250,143,30,58
L000708,230,S008,2292,173,25,80
L000709,230,S009,2288,190,60,95
L000710,230,S006,2383,173,10,167
L000711,230,S011,2367,58,30,113
L000712,231,S014,3372,150,15,314
L000713,231,S006,3034,94,10,237
L000714,231,S008,3085,74,50,20
L000715,231,S005,3010,152,5,37
L000716,231,S011,3076,0,30,141
L000717,232,S012,3948,0,20,381
L000718,233,S010,2241,198,10,170
L000719,233,S002,1905,171,25,408
L000720,233,S007,1897,128,10,44
L000721,234,S006,827,84,10,132
L000722,234,S008,755,236,25,119
L000723,235,S009,2991,0,0,59
L000724,235,S006,2607,60,10,60
L000725,235,S004,2726,231,10,108
L000726,235,S003,2715,210,20,246
L000727,236,S002,3252,216,30,68
L000728,236,S004,3775,187,5,23
L000729,236,S007,3550,187,25,312
L000730,237,S013,5088,142,20,38
L000731,238,S002,1852,75,40,90
L000732,239,S005,4632,89,10,143
L000733,240,S011,1439,76,0,92
L000734,240,S007,1471,218,15,28
L000735,240,S003,1491,129,10,237
L000736,240,S005,1522,233,0,85
L000737,240,S012,1335,173,5,201
L000738,241,S004,5193,105,5,186
L000739,241,S009,5253,181,10,99
L000740,242,S010,2898,53,20,176
L000741,242,S006,2810,0,5,307
L000742,242,S007,2725,115,15,63
L000743,242,S014,2648,0,15,32
L000744,242,S009,2891,53,40,56
L000745,243,S011,1196,55,50,14
L000746,243,S010,1340,148,30,360
L000747,243,S009,1199,0,25,104
L000748,244,S013,2651,244,30,440
L000749,245,S011,3537,0,30,48
L000750,245,S013,3354,102,5,152
L000751,245,S014,3187,163,25,208
L000752,246,S003,4862,97,15,426
L000753,247,S006,4430,182,5,284
L000754,247,S012,4146,185,15,344
L000755,247,S005,4702,180,5,479
L000756,247,S011,4930,113,30,125
L000757,247,S013,4144,0,10,209
L000758,248,S008,4238,67,30,46
L000759,249,S010,3033,115,10,111
L000760,249,S014,2892,0,15,106
L000761,249,S011,2608,0,10,386
L000762,249,S008,2571,143,15,155
L000763,250,S008,2682,0,0,304
L000764,250,S014,2694,215,5,49
L000765,250,S004,3117,204,0,224
L000766,250,S002,2995,72,50,124
L000767,251,S007,3519,164,0,193
L000768,252,S014,2556,61,20,24
L000769,252,S002,2432,214,10,192
L000770,253,S007,2022,0,5,38
L000771,253,S005,1960,231,10,78
L000772,253,S008,2186,163,15,409
L000773,253,S006,1962,141,10,25
L000774,254,S001,4724,70,5,86
L000775,254,S007,5335,209,5,233
L000776,254,S010,4607,0,15,53
L000777,254,S013,5210,0,5,105
L000778,255,S011,1574,203,5,149
